hindi_terms,english_translations
कवांच,horse-eye-bean
भोजपत्र,Indian birch
केल,kale
लसोड़ा,Indian cherry
धूप,Indian juniper
बीजासर,Indian kino tree
सुपान,Indian laural tree
सुलतान चंपा,Indian laural tree
साया,Indian madder
मजीठ,Indian maddler
पापड़ा,Indian podo phylum
नील,indigo
काकुन,Italian millet
कुर्ची,ivory tree
कुंदरू,ivy gourd/little gourd
नीली गुलमोहर,jacaranda
कटहल,jackfruit
जामुन,jamun
मोतिया,jasmine
जट्टी/खट्टी,jatti khatti
रतनजोत,jattrofa
जूट,jute
कदंब,kadam
कांस घास,kans grass
करोंदा,karonda
राजमा,"kidney bean, rajmah"
कीवी फल,kiwifruit
गांठ गोभी,knol khol
विलायती इमली,kodampuli
कोदो,kodo millet
कोकम,kokam butter tree (mangosteen)
कुसुम,safflower
लाख,lac
भिंडी,"lady's finger, okra"
गोखरू,land caltrops
लैंटाना,lantana
खेसारी,lathyrus
लीक,leek
नींबू घास,lemon grass
लेमन,lemon
मसूर,lentil
मुलेठी,lequorice
सलाद,lettuce
कमलिनी,lily
कुमुदिनी,lily
नींबू,lime
अलसी,linseed
लीची,litchi
कुटकी,little millet
ककड़ी,long melon
पीपर,long pepper
पिपलामूल,long pepper
लोकाट,loquat
कमल,lotus
रिजका,alfalfa (lucerne)
जावित्री,mace
आक,madar
मधुआ,madhuca
मक्का,maize
मखाना,makhana
संतरा,mandarin
आमा हल्दी,mango zinger
आम,mango
नीम,"pride of India, China tree"
मारगोसा,"margosa, neem"
गेंदा,marigold
रूमी मस्तिकी,mastic tree
बड़ा कांटा,merrill
मेस्ता,mesta
पुदीना,mint
करंजू,molucca bean
नकटमाला,molucca bean
बड़हल,monkey jack
सहजन,moringa
हिरनखुरी,morning glory (convolvulus)
मोसम्बी,mosambi
मठ,moth bean
शहतूत,mulberry
खुंब,mushroom
खरबूज,musk melon
कस्तूरी,musk
सरसों,mustard
विलायती मेंहदी,myrtle
ककरौंदा,nagai camphor
हाथी घास,napier grass
नेपियर घास,napier grass
नर्गिस,narcissus
कलौंजी,nigella
रामतिल,niger
रात की रानी,night jasmine
गोफल,nipa palm
सागरसमोथा,nut grass
मोथा,nut sedge
जायफल,nutmeg
जई,oats
तेल ताड़,oil palm
कनेर,oleander
जैतून,olive
प्याज,onion
पोस्त,opium poppy
चिनार,"oriental plane, european"
धान,paddy
गंधिज घास,palmarosa
ताड़,palmyra palm
केतकी,pandanus
पपीता,papaya
पेरा घास,para grass
पार्सले,parsley
गाजर घास (कांग्रेस घास),"parthenium, (congress grass)"
पचौली,patchouli
आड़ू,peach
गुलमोहर,"peacock flower, paradise flower"
नाशपाती,pear
बाजरा,pearl millet
मटर,peas
पीकन नट,pecan nut
ब्राह्मी,pennel
पेपिनो,pepino
काली मिर्च,pepper
भसिंडा,perilla
सदाबहार,periwinkle
जापानी फल,persimmon
फालसा,phalsa
अरहर,pigeonpea
कृष्णनील,pimpernel (anagallis)
चीड़,pine
अनन्नास,pineapple
पिस्ता,"pistachio, green almond"
आलूचा,plum
परवल,pointed gourd
अनार,pomegranate
करंज,pongam
पोपलर,poplar
अफीम,poppy
खुर्सी,portulaca
आलू,potato
सत्यानाशी,prickly poppy
बकैन,"pride of India, China tree"
चीना,proso millet
इसबगोल,psyllium
पुलासन,pulasaan
कदूख,pumkin
पुमेलो,pummelo
मूली,radish
विलायती सीरस,rain tree
किशमिश,raisin
रैम्बूटान,rambutan
रंगून की बेल,rangoon creeper
राई,rapeseed
रसबेरी,raspberry
सुगरा,rat-tail radish
मुंगरा,rat-tail radish
बेत,rattan
तून,white mulbery
त्रिफ्रा,red clover
सेमल,red silk tree
नरकुल,reed grass
रोड्स घास,rhodes grass
बोरांरा,rhododendron
तातरी,rhus
चावल,rice
नसदार तोरई,ridged gourd
गुलाब,rose
गुलाब जामुन,rose berry
रसमरी,rosemary
टिंडा,round gourd
रबड़,rubber
केसर,saffron
सीस्टी,sage
साल,sal
साल्विया,salvia
चंदन,sandal wood
चीकू,sapota
केवड़ा,screwpine
धुरचुक,seabuckhorn
सनाय,senna
चंद्रभागा,serpentine wood
तिल,sesame
चिचिंडा,snake gourd
कचरी,snap melon
रीठा,soapnut
ज्वार,sorghum
सोयाबीन,soybean
मोलश्री,spanish cherry
पालक,spinach
बारफली,spindle wood
घीया,sponge gourd
तोरी,sponge gourd
स्टीविया,stevia
बिच्छू बूटी,stinging nettle
छड़ीला,stone flower
स्ट्रॉबेरी,strawberry
सुडान घास,Sudan grass
गन्ना,sugarcane
चपमन कद्दू,summer squash
सूरजमुखी,sunflower
सनई,sunhemp
वनमेथी,sweet clover
सेंजी,sweet clover
ककरोल,sweet gourd
शकरकंद,sweet potato
वनपुष्पाह,sweet violet
इमली,tamarind
किरसाला,tarragon
स्वर्ण चंपा,temple or pagoda tree
सोन चंपा,temple or pagoda tree
सजजी,thistle
मोरोपंखी,thuja
बनजवाइन,thyme
तम्बाकू,tobacco
टमाटर,tomato
हरसिंगार,tree of sorrow
ट्रिटिकेल,triticale
लटकनिया,trumpet vine
रजनी गंधा,tuberose
हल्दी,turmeric
शलगम,turnip
पटेर,typha (Indian reed mace)
उल्ला घास,ulla grass
वनीला,vanilla
खस,vetiver
अखरोट,walnut
ब्राह्मी साग,water cress
जलकुंभी,water hyacinth
तरबूज,water melon
टिवरा,water mint
मजनून,weeping willow
महोगनी,west Indian mahogany
गेहूं,wheat
सफतल,white clover
सुबबूल,white popinec
बिस,white willow
सतरा,wild marjorim
बनतुलसी,wild marjorim
जंगली जई,wild oat
पंखिया बीन,winged bean
विलायती कद्दू,winter squash
अश्वगंधा,withania
खट्टी बूटी,"wood sorrel, oxalis"
कटेली,yellow berried nightshade
हर्र,yellow myrobalan
तेजफल,zanthophylum
लूसर्न,alfalfa (lucerne)
चींटी,ants
तेला,aphids
सैनिक कीट,army worm
घूंस,bandicoot
भालू,bear
भृंग,beetle
फफोला भृंग,blister beetle
नील गाय,blue bull
कपास की सूंडी,boll worm
तितली,butterfly
पुटिका वेधक,capsule borer
सिट्रस सिल्ला,citrus psylla
झींगर,cricket
कौआ,crow
कटुआ,cut worm
पतियां खाने वाला भृंग,defoliating beetle
नर मधुमक्खी,drone
बतख,duck
केचुआ,earthworm
पिस्सू,flea
लोमड़ी,fox
फल मक्खी,fruit fly
पीटिका कोट,gall midge
टिड्डा,grass hopper
गंधी कोट,gundhy bug
मधुमक्खी,honeybee
फुदका,hopper
जैसिड,jassids
खपरा भुंग,khapra beetle
लाख कोट,lac insect
सोमनचड़ी,lady bird beetle
पत्ती लपेटक,leaf roller
पत्ती जाला कोट,leaf webber
मीली बग,mealy bug
गुजिया कोट,mealy bug
मशकाम,midge
मिज,midge
विचंची,mites
बरूथी,mites
बंदर,monkey
मच्छर,mosquito
पतंगा,moth
शलम,moth
सूत्रकृमि,nematode
नट गुन,nut weevil
चित्तेदार मकुण,painted bug
तोता,parrot
मोर,peacock
फली वेधक,pod borer
फली मक्खी,pod fly
कोरा,pulse beetle
पाइरिल्ला,pyrilla
बटेर,quail
रानी मधुमक्खी,queen bee
चूहा,rat
लाल ताड़-गुन,red palm weevil
कद्दू की लाल भृंग,red pumpkin beetle
राइनोसिरस भृंग,rhinoceros beetle
सुरसुरी,rice weevil
रस चूसक,sap sucker
आरा मक्खी,saw fly
शल्क कीट,scale insect
अर्ध कुंडलक,semilooper
प्ररोह वेधक,shoot borer
रेशम कीट,silkworm
घोंघा,snail
गौरैया,sparrow
मकड़ी,spider
गिलहरी,squirrel
तना वेधक,stem borer
स्तंभ मेधला कीट,stem girdler
गुटली का घुन,stone weevil
'टी' मच्छर कीट,tea mosquito
दीमक,termites (white ant)
थ्रिप्स,thrips
बर्र,wasp
ततैया,wasp
बया,weaver bird
घुन,weevil
सफेद सूंडी,white grub
रुईया माहू,woolly aphid
कृषि अर्थशास्त्री,agricultural economist
कृषि प्रसार वैज्ञानिक,agricultural extensionist
कृषि वैज्ञानिक,agricultural scientist
कृषि अभियंता,agriculture engineer
कृषि जीवविज्ञानी,agrobiologist
सस्य वैज्ञानिक,agronomist
कृषि भौतिकीविद्,agrophysicist
प्राणी प्रजनक,animal breeder
पशु प्रजनक,animal breeder
जीवाणु वैज्ञानिक,bacteriologist
जैव रसायनविद्,biochemist
जीव वैज्ञानिक,biologist
जैव प्रौद्योगिकीविद्,biotechnologist
वनस्पतिविद्,botanist
कीट वैज्ञानिक,entomologist
पर्यावरणविद्,environmentalist
उद्यानविद्,horticulturist
जल वैज्ञानिक,hydrologist
मौसम वैज्ञानिक,meteorologist
सूक्ष्म जीवविज्ञ,microbiologist
कवक विज्ञानी,mycologist
सूत्रकृमि विज्ञानी,nematologist
रोग विज्ञानी,pathologist
विकृति विज्ञानी,pathologist
मृदा विज्ञानी,pedologist
पादप प्रजनक,plant breeder
पादप रोग विज्ञानी,plant pathologist
पादप क्रियाविज्ञानी,plant physiologist
फल विज्ञानी,pomologist
मृदाविज्ञानी,soil scientist
पशु चिकित्सक,veterinarian doctor
विषाणुविज्ञानी,virologist
प्राणिविज्ञानी,zoologist
